link,time,flow_rate
P1,0,-1.1161179193627623e-16
P1,1,6.975736996017264e-18
P1,2,6.975736996017264e-18
P1,3,6.278163296415537e-17
P1,4,6.278163296415537e-17
P1,5,0.06913411683788735
P1,6,1.3951473992034528e-17
P1,7,2.7902947984069057e-17
P1,8,0.07034730256562441
P1,9,-4.1854421976103585e-17
P1,10,0.07032249258711784
P1,11,0.06875979861173205
P1,12,0.06713770481281478
P1,13,0.06540177346144954
P1,14,-3.8366553478094954e-17
P1,15,0.06479960178762256
P1,16,1.3951473992034528e-17
P1,17,1.3951473992034527e-16
P1,18,-3.487868498008632e-17
P1,19,-4.1854421976103585e-17
P1,20,1.3951473992034528e-17
P1,21,0.07024944735835649
P1,22,6.975736996017264e-18
P1,23,0.06887255164477021
P2,0,-0.012500000000000112
P2,1,-0.009999999999999995
P2,2,-0.009999999999999995
P2,3,-0.012499999999999938
P2,4,-0.017499999999999936
P2,5,0.04413411683788735
P2,6,-0.03499999999999998
P2,7,-0.03999999999999998
P2,8,0.0328473025656244
P2,9,-0.03250000000000004
P2,10,0.04032249258711784
P2,11,0.04125979861173205
P2,12,0.04213770481281478
P2,13,0.04040177346144954
P2,14,-0.027500000000000042
P2,15,0.034799601787622564
P2,16,-0.03499999999999998
P2,17,-0.03999999999999987
P2,18,-0.03750000000000004
P2,19,-0.03250000000000004
P2,20,-0.024999999999999988
P2,21,0.050249447358356486
P2,22,-0.014999999999999993
P2,23,0.056372551644770216
PU1,0,-1.1161179193627623e-16
PU1,1,6.975736996017264e-18
PU1,2,6.975736996017264e-18
PU1,3,6.278163296415537e-17
PU1,4,6.278163296415537e-17
PU1,5,0.06913411683788735
PU1,6,1.3951473992034528e-17
PU1,7,2.7902947984069057e-17
PU1,8,0.07034730256562441
PU1,9,-4.1854421976103585e-17
PU1,10,0.07032249258711784
PU1,11,0.06875979861173205
PU1,12,0.06713770481281478
PU1,13,0.06540177346144954
PU1,14,-3.8366553478094954e-17
PU1,15,0.06479960178762256
PU1,16,1.3951473992034528e-17
PU1,17,1.3951473992034527e-16
PU1,18,-3.487868498008632e-17
PU1,19,-4.1854421976103585e-17
PU1,20,1.3951473992034528e-17
PU1,21,0.07024944735835649
PU1,22,6.975736996017264e-18
PU1,23,0.06887255164477021
