bus,time,P_import,P_export,P_pv,Q_ch,Q_dis,Q_grid,PumpBusLoad
sourcebus,0,40.0,0.0,0.0,0.0,0.0,19.372884193514103,0.0
sourcebus,1,26.899999999999995,0.0,0.0,0.0,0.0,16.951273669324838,0.0
sourcebus,2,35.0,0.0,0.0,0.0,0.0,16.951273669324838,0.0
sourcebus,3,40.0,0.0,0.0,0.0,0.0,19.372884193514103,0.0
sourcebus,4,50.0,0.0,0.0,0.0,0.0,24.216105241892627,0.0
sourcebus,5,70.0,0.0,0.0,0.0,0.0,33.902547338649676,0.0
sourcebus,6,100.0,0.0,0.0,0.0,0.0,41.16737891121747,0.0
sourcebus,7,0.0,0.0,0.0,0.0,0.0,43.58898943540673,0.0
sourcebus,8,0.0,-0.0,0.0,0.0,0.0,43.58898943540673,0.0
sourcebus,9,0.0,35.0,0.0,0.0,0.0,41.16737891121747,0.0
sourcebus,10,0.0,4.049999999999997,0.0,0.0,0.0,38.74576838702821,0.0
sourcebus,11,0.0,39.05,0.0,0.0,0.0,36.32415786283894,0.0
sourcebus,12,0.0,49.05,0.0,0.0,0.0,36.32415786283894,0.0
sourcebus,13,0.0,50.0,0.0,0.0,0.0,38.74576838702821,0.0
sourcebus,14,0.0,48.52368421052631,0.0,0.0,0.0,41.16737891121747,0.0
sourcebus,15,0.9500000000000028,0.0,0.0,0.0,0.0,46.01059995959599,0.0
sourcebus,16,0.0,-0.0,0.0,0.0,0.0,48.432210483785255,0.0
sourcebus,17,18.539749999999984,0.0,0.0,0.0,0.0,46.01059995959599,0.0
sourcebus,18,30.0,0.0,0.0,0.0,0.0,43.58898943540673,0.0
sourcebus,19,35.0,0.0,0.0,0.0,0.0,41.16737891121747,0.0
sourcebus,20,80.0,0.0,0.0,0.0,0.0,38.74576838702821,0.0
sourcebus,21,100.0,0.0,0.0,0.0,0.0,33.902547338649676,0.0
sourcebus,22,100.0,0.0,0.0,0.0,0.0,29.05932629027115,0.0
sourcebus,23,100.0,0.0,0.0,0.0,0.0,24.216105241892627,0.0
loadbus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,1,0.0,0.0,0.0,0.0,8.100000000000005,0.0,0.0
loadbus,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,6,0.0,0.0,10.0,0.0,0.9499999999999993,0.0,25.95
loadbus,7,0.0,0.0,40.0,0.0,50.0,0.0,0.0
loadbus,8,0.0,0.0,80.0,0.0,35.95,0.0,25.95
loadbus,9,0.0,0.0,120.0,0.0,0.0,0.0,0.0
loadbus,10,0.0,0.0,160.0,50.0,0.0,0.0,25.95
loadbus,11,0.0,0.0,190.0,50.0,0.0,0.0,25.95
loadbus,12,0.0,0.0,200.0,50.0,0.0,0.0,25.95
loadbus,13,0.0,0.0,190.0,34.05,0.0,0.0,25.95
loadbus,14,0.0,0.0,160.0,26.476315789473688,0.0,0.0,0.0
loadbus,15,0.0,0.0,120.0,0.0,0.0,0.0,25.95
loadbus,16,0.0,0.0,80.0,0.0,20.0,0.0,0.0
loadbus,17,0.0,0.0,40.0,0.0,36.460250000000016,0.0,0.0
loadbus,18,0.0,0.0,10.0,0.0,50.0,0.0,0.0
loadbus,19,0.0,0.0,0.0,0.0,50.0,0.0,0.0
loadbus,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loadbus,21,0.0,0.0,0.0,4.050000000000004,0.0,0.0,25.95
loadbus,22,0.0,0.0,0.0,40.0,0.0,0.0,0.0
loadbus,23,0.0,0.0,0.0,24.05,0.0,0.0,25.95
